Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp Atk,Sp Def,Speed,Generation,Legendary,Img
Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png
Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png
Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png
Nidoran♀,Poison,,275,55,47,52,40,40,41,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png
Nidoran♂,Poison,,273,46,57,40,40,40,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png
Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png
Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png
Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png
Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png
Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
Persian,Normal,,440,65,70,60,65,65,115,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png
Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
Golduck,Water,,500,80,82,78,95,80,85,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png
Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png
Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png
Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png
Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png
Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png
Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png
Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png
Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png
Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png
Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png
Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png
Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png
SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10071.png
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png
Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png
Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png
Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png
Seel,Water,,325,65,45,55,45,70,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png
Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png
Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png
Muk,Poison,,500,105,105,75,65,100,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png
Shellder,Water,,305,30,65,100,45,25,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png
Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png
Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png
Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png
GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10038.png
Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png
Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png
Hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png
Krabby,Water,,325,30,105,90,25,25,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png
Kingler,Water,,475,55,130,115,50,50,75,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png
Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png
Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png
Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png
Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png
Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png
Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png
Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png
Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png
Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png
KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10039.png
Horsea,Water,,295,30,40,70,70,25,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png
Seadra,Water,,440,55,65,95,95,45,85,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png
Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png
Seaking,Water,,450,80,92,65,65,80,68,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png
Staryu,Water,,340,30,45,55,70,55,85,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png
Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png
Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png
Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png
Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png
PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10040.png
Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png
Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png
GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10041.png
Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png
Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png
Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png
Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png
Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png
Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png
Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png
Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png
Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10042.png
Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png
Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png
Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png
MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10043.png
MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10044.png
Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png
Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png
Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png
Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png
Totodile,Water,,314,50,65,64,44,48,43,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png
Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png
Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png
Furret,Normal,,415,85,76,64,45,55,90,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png
Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png
Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png
Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png
Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png
Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png
Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png
Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png
